pw,COUNT(x3)
225,15
226,15
227,15
228,15
229,15
230,15
231,15
232,15
233,15
234,15
235,15
236,15
237,15
238,15
239,15
240,15
193,16
194,16
195,16
196,16
197,16
198,16
199,16
200,16
201,16
202,16
203,16
204,16
205,16
206,16
207,16
208,16
209,16
210,16
211,16
212,16
213,16
214,16
215,16
216,16
217,16
218,16
219,16
220,16
221,16
222,16
223,16
224,16
10,17
101,17
102,17
103,17
104,17
105,17
106,17
107,17
108,17
109,17
11,17
110,17
111,17
112,17
113,17
114,17
115,17
116,17
117,17
118,17
119,17
12,17
120,17
121,17
122,17
123,17
124,17
125,17
126,17
127,17
128,17
129,17
13,17
130,17
131,17
132,17
14,17
15,17
16,17
17,17
18,17
19,17
20,17
21,17
22,17
23,17
24,17
25,17
26,17
27,17
28,17
29,17
30,17
31,17
32,17
33,17
34,17
35,17
36,17
37,17
38,17
39,17
40,17
8,17
9,17
1,18
100,18
133,18
134,18
135,18
136,18
137,18
138,18
139,18
140,18
141,18
142,18
143,18
144,18
145,18
146,18
147,18
148,18
149,18
150,18
151,18
152,18
153,18
154,18
155,18
156,18
157,18
158,18
159,18
160,18
161,18
162,18
163,18
164,18
165,18
166,18
167,18
168,18
169,18
170,18
171,18
172,18
173,18
174,18
175,18
176,18
177,18
178,18
179,18
180,18
181,18
182,18
183,18
184,18
185,18
186,18
187,18
188,18
189,18
190,18
191,18
192,18
2,18
3,18
4,18
41,18
42,18
43,18
44,18
45,18
46,18
47,18
48,18
49,18
5,18
50,18
51,18
52,18
53,18
54,18
55,18
56,18
57,18
58,18
59,18
6,18
60,18
61,18
62,18
63,18
64,18
65,18
66,18
67,18
68,18
69,18
7,18
70,18
71,18
72,18
73,18
74,18
75,18
76,18
77,18
78,18
79,18
80,18
81,18
82,18
83,18
84,18
85,18
86,18
87,18
88,18
89,18
90,18
91,18
92,18
93,18
94,18
95,18
96,18
97,18
98,18
99,18

