pw,COUNT(x3)
40,7
8,7
100,8
38,8
39,8
4,8
6,8
7,8
72,8
96,8
132,9
2,9
224,9
24,9
240,9
3,9
32,9
36,9
37,9
5,9
70,9
71,9
88,9
95,9
1,10
124,10
128,10
130,10
131,10
164,10
188,10
192,10
20,10
208,10
216,10
22,10
220,10
222,10
223,10
23,10
232,10
236,10
238,10
239,10
30,10
31,10
34,10
35,10
56,10
64,10
68,10
69,10
86,10
87,10
92,10
94,10
98,10
99,10
116,11
120,11
122,11
123,11
126,11
127,11
129,11
156,11
16,11
160,11
162,11
163,11
18,11
180,11
184,11
186,11
187,11
19,11
190,11
191,11
200,11
204,11
206,11
207,11
21,11
212,11
214,11
215,11
218,11
219,11
221,11
228,11
230,11
231,11
234,11
235,11
237,11
28,11
29,11
33,11
52,11
54,11
55,11
62,11
63,11
66,11
67,11
80,11
84,11
85,11
90,11
91,11
93,11
97,11
108,12
112,12
114,12
115,12
118,12
119,12
12,12
121,12
125,12
14,12
148,12
15,12
152,12
154,12
155,12
158,12
159,12
161,12
17,12
172,12
176,12
178,12
179,12
182,12
183,12
185,12
189,12
196,12
198,12
199,12
202,12
203,12
205,12
210,12
211,12
213,12
217,12
226,12
227,12
229,12
233,12
26,12
27,12
48,12
50,12
51,12
53,12
60,12
61,12
65,12
76,12
78,12
79,12
82,12
83,12
89,12
10,13
104,13
106,13
107,13
11,13
110,13
111,13
113,13
117,13
13,13
140,13
144,13
146,13
147,13
150,13
151,13
153,13
157,13
168,13
170,13
171,13
174,13
175,13
177,13
181,13
194,13
195,13
197,13
201,13
209,13
225,13
25,13
44,13
46,13
47,13
49,13
58,13
59,13
74,13
75,13
77,13
81,13
102,14
103,14
105,14
109,14
136,14
138,14
139,14
142,14
143,14
145,14
149,14
166,14
167,14
169,14
173,14
193,14
42,14
43,14
45,14
57,14
73,14
9,14
101,15
134,15
135,15
137,15
141,15
165,15
41,15
133,16

