pw,COUNT(x3)
101,2
133,2
193,2
225,2
102,3
103,3
105,3
109,3
134,3
135,3
137,3
141,3
165,3
194,3
195,3
197,3
201,3
209,3
226,3
227,3
229,3
233,3
41,3
9,3
10,4
104,4
106,4
107,4
11,4
110,4
111,4
113,4
117,4
13,4
136,4
138,4
139,4
142,4
143,4
145,4
149,4
166,4
167,4
169,4
173,4
196,4
198,4
199,4
202,4
203,4
205,4
210,4
211,4
213,4
217,4
228,4
230,4
231,4
234,4
235,4
237,4
25,4
42,4
43,4
45,4
57,4
73,4
108,5
112,5
114,5
115,5
118,5
119,5
12,5
121,5
125,5
14,5
140,5
144,5
146,5
147,5
15,5
150,5
151,5
153,5
157,5
168,5
17,5
170,5
171,5
174,5
175,5
177,5
181,5
200,5
204,5
206,5
207,5
212,5
214,5
215,5
218,5
219,5
221,5
232,5
236,5
238,5
239,5
26,5
27,5
44,5
46,5
47,5
49,5
58,5
59,5
74,5
75,5
77,5
81,5
116,6
120,6
122,6
123,6
126,6
127,6
129,6
148,6
152,6
154,6
155,6
158,6
159,6
16,6
161,6
172,6
176,6
178,6
179,6
18,6
182,6
183,6
185,6
189,6
19,6
208,6
21,6
216,6
220,6
222,6
223,6
240,6
28,6
29,6
33,6
48,6
50,6
51,6
53,6
60,6
61,6
65,6
76,6
78,6
79,6
82,6
83,6
89,6
124,7
128,7
130,7
131,7
156,7
160,7
162,7
163,7
180,7
184,7
186,7
187,7
190,7
191,7
20,7
22,7
224,7
23,7
30,7
31,7
34,7
35,7
52,7
54,7
55,7
62,7
63,7
66,7
67,7
80,7
84,7
85,7
90,7
91,7
93,7
97,7
1,8
132,8
164,8
188,8
192,8
24,8
32,8
36,8
37,8
56,8
64,8
68,8
69,8
86,8
87,8
92,8
94,8
98,8
99,8
2,9
3,9
38,9
39,9
5,9
70,9
71,9
88,9
95,9
100,10
4,10
40,10
6,10
7,10
72,10
8,10
96,10

