,pw,x1,x2,x3
0,1,cCEN_Northeast,cTZ_USA,"""<"""
1,1,cCEN_Northeast,cTZ_Eastern,"""<"""
2,1,cCEN_USA,cTZ_Eastern,""">"""
3,1,cCEN_USA,cTZ_USA,""">"""
4,1,cCEN_USA,cTZ_Pacific,""">"""
5,1,cCEN_USA,cTZ_Central,""">"""
6,1,cCEN_USA,cTZ_Mountain,""">"""
7,1,cCEN_West,cTZ_Pacific,""">"""
8,1,cCEN_South,cTZ_Eastern,"""><"""
9,1,cCEN_South,cTZ_USA,"""><"""
10,1,cCEN_South,cTZ_Central,"""><"""
11,1,cCEN_West,cTZ_USA,"""><"""
12,1,cCEN_Midwest,cTZ_Mountain,"""><"""
13,1,cCEN_Midwest,cTZ_Central,"""><"""
14,1,cCEN_Midwest,cTZ_USA,"""><"""
15,1,cCEN_Midwest,cTZ_Eastern,"""><"""
16,1,cCEN_South,cTZ_Mountain,"""><"""
17,1,cCEN_West,cTZ_Mountain,"""><"""
18,1,cCEN_West,cTZ_Central,"""!"""
19,1,cCEN_South,cTZ_Pacific,"""!"""
20,1,cCEN_Northeast,cTZ_Pacific,"""!"""
21,1,cCEN_Northeast,cTZ_Central,"""!"""
22,1,cCEN_Northeast,cTZ_Mountain,"""!"""
23,1,cCEN_West,cTZ_Eastern,"""!"""
24,1,cCEN_Midwest,cTZ_Pacific,"""!"""
25,2,cCEN_West,cTZ_USA,"""<"""
26,2,cCEN_Northeast,cTZ_USA,"""<"""
27,2,cCEN_Northeast,cTZ_Eastern,"""<"""
28,2,cCEN_USA,cTZ_Eastern,""">"""
29,2,cCEN_USA,cTZ_USA,""">"""
30,2,cCEN_USA,cTZ_Pacific,""">"""
31,2,cCEN_USA,cTZ_Central,""">"""
32,2,cCEN_USA,cTZ_Mountain,""">"""
33,2,cCEN_West,cTZ_Pacific,""">"""
34,2,cCEN_South,cTZ_Eastern,"""><"""
35,2,cCEN_South,cTZ_USA,"""><"""
36,2,cCEN_South,cTZ_Central,"""><"""
37,2,cCEN_Midwest,cTZ_Mountain,"""><"""
38,2,cCEN_Midwest,cTZ_Central,"""><"""
39,2,cCEN_Midwest,cTZ_USA,"""><"""
40,2,cCEN_Midwest,cTZ_Eastern,"""><"""
41,2,cCEN_South,cTZ_Mountain,"""><"""
42,2,cCEN_West,cTZ_Mountain,"""><"""
43,2,cCEN_West,cTZ_Central,"""!"""
44,2,cCEN_South,cTZ_Pacific,"""!"""
45,2,cCEN_Northeast,cTZ_Pacific,"""!"""
46,2,cCEN_Northeast,cTZ_Central,"""!"""
47,2,cCEN_Northeast,cTZ_Mountain,"""!"""
48,2,cCEN_West,cTZ_Eastern,"""!"""
49,2,cCEN_Midwest,cTZ_Pacific,"""!"""
50,3,cCEN_Northeast,cTZ_USA,"""<"""
51,3,cCEN_Northeast,cTZ_Eastern,"""<"""
52,3,cCEN_Midwest,cTZ_USA,"""<"""
53,3,cCEN_USA,cTZ_Eastern,""">"""
54,3,cCEN_USA,cTZ_USA,""">"""
55,3,cCEN_USA,cTZ_Pacific,""">"""
56,3,cCEN_USA,cTZ_Central,""">"""
57,3,cCEN_USA,cTZ_Mountain,""">"""
58,3,cCEN_West,cTZ_Pacific,""">"""
59,3,cCEN_South,cTZ_Eastern,"""><"""
60,3,cCEN_South,cTZ_USA,"""><"""
61,3,cCEN_South,cTZ_Central,"""><"""
62,3,cCEN_West,cTZ_USA,"""><"""
63,3,cCEN_Midwest,cTZ_Mountain,"""><"""
64,3,cCEN_Midwest,cTZ_Central,"""><"""
65,3,cCEN_Midwest,cTZ_Eastern,"""><"""
66,3,cCEN_South,cTZ_Mountain,"""><"""
67,3,cCEN_West,cTZ_Mountain,"""><"""
68,3,cCEN_West,cTZ_Central,"""!"""
69,3,cCEN_South,cTZ_Pacific,"""!"""
70,3,cCEN_Northeast,cTZ_Pacific,"""!"""
71,3,cCEN_Northeast,cTZ_Central,"""!"""
72,3,cCEN_Northeast,cTZ_Mountain,"""!"""
73,3,cCEN_West,cTZ_Eastern,"""!"""
74,3,cCEN_Midwest,cTZ_Pacific,"""!"""
75,4,cCEN_West,cTZ_USA,"""<"""
76,4,cCEN_Northeast,cTZ_USA,"""<"""
77,4,cCEN_Northeast,cTZ_Eastern,"""<"""
78,4,cCEN_Midwest,cTZ_USA,"""<"""
79,4,cCEN_USA,cTZ_Eastern,""">"""
80,4,cCEN_USA,cTZ_USA,""">"""
81,4,cCEN_USA,cTZ_Pacific,""">"""
82,4,cCEN_USA,cTZ_Central,""">"""
83,4,cCEN_USA,cTZ_Mountain,""">"""
84,4,cCEN_West,cTZ_Pacific,""">"""
85,4,cCEN_South,cTZ_Eastern,"""><"""
86,4,cCEN_South,cTZ_USA,"""><"""
87,4,cCEN_South,cTZ_Central,"""><"""
88,4,cCEN_Midwest,cTZ_Mountain,"""><"""
89,4,cCEN_Midwest,cTZ_Central,"""><"""
90,4,cCEN_Midwest,cTZ_Eastern,"""><"""
91,4,cCEN_South,cTZ_Mountain,"""><"""
92,4,cCEN_West,cTZ_Mountain,"""><"""
93,4,cCEN_West,cTZ_Central,"""!"""
94,4,cCEN_South,cTZ_Pacific,"""!"""
