,pw,x1,x2,x3
0,1,c1948_Andropogon,c1950_Andropogon,"""="""
1,1,c1948_A_capillipes,c1950_A_capillipes,"""="""
2,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
3,1,c1948_A_virginicus,c1950_A_virginicus,"""<"""
4,1,c1948_A_glomeratus,c1950_Andropogon,"""<"""
5,1,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
6,1,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
7,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""<"""
8,1,c1948_A_virginicus,c1950_Andropogon,"""<"""
9,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
10,1,c1948_A_capillipes,c1950_Andropogon,"""<"""
11,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
12,1,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
13,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""<"""
14,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""<"""
15,1,c1948_Andropogon,c1950_A_glomeratus,""">"""
16,1,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
17,1,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
18,1,c1948_Andropogon,c1950_A_capillipes,""">"""
19,1,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
20,1,c1948_Andropogon,c1950_A_virginicus,""">"""
21,1,c1948_A_glomeratus,c1950_A_glomeratus,""">"""
22,1,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
23,1,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
24,1,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""><"""
25,1,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
26,1,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,"""><"""
27,1,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
28,1,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
29,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""!"""
30,1,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
31,1,c1948_A_capillipes,c1950_A_virginicus,"""!"""
32,1,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""!"""
33,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
34,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
35,1,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
36,1,c1948_A_virginicus,c1950_A_capillipes,"""!"""
37,1,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
38,1,c1948_A_virginicus,c1950_A_glomeratus,"""!"""
39,1,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
40,1,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
41,1,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
42,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
43,1,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
44,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
45,1,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
46,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
47,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
48,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
49,2,c1948_Andropogon,c1950_Andropogon,"""="""
50,2,c1948_A_capillipes,c1950_A_capillipes,"""="""
51,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
52,2,c1948_A_virginicus,c1950_A_virginicus,"""<"""
53,2,c1948_A_glomeratus,c1950_Andropogon,"""<"""
54,2,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
55,2,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
56,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""<"""
57,2,c1948_A_virginicus,c1950_Andropogon,"""<"""
58,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
59,2,c1948_A_capillipes,c1950_Andropogon,"""<"""
60,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
61,2,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
62,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""<"""
63,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""<"""
64,2,c1948_Andropogon,c1950_A_glomeratus,""">"""
65,2,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
66,2,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
67,2,c1948_Andropogon,c1950_A_capillipes,""">"""
68,2,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
69,2,c1948_Andropogon,c1950_A_virginicus,""">"""
70,2,c1948_A_glomeratus,c1950_A_glomeratus,""">"""
71,2,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
72,2,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
73,2,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
74,2,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
75,2,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
76,2,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
77,2,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
78,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""!"""
79,2,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
80,2,c1948_A_capillipes,c1950_A_virginicus,"""!"""
81,2,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""!"""
82,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
83,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
84,2,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
85,2,c1948_A_virginicus,c1950_A_capillipes,"""!"""
86,2,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
87,2,c1948_A_virginicus,c1950_A_glomeratus,"""!"""
88,2,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
89,2,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
90,2,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
91,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
92,2,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
93,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
94,2,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
95,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
96,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
97,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
98,3,c1948_Andropogon,c1950_Andropogon,"""="""
99,3,c1948_A_capillipes,c1950_A_capillipes,"""="""
100,3,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
101,3,c1948_A_glomeratus,c1950_Andropogon,"""<"""
102,3,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
103,3,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
104,3,c1948_A_virginicus,c1950_Andropogon,"""<"""
105,3,c1948_A_capillipes,c1950_Andropogon,"""<"""
106,3,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
107,3,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
108,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""<"""
109,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""<"""
110,3,c1948_Andropogon,c1950_A_glomeratus,""">"""
111,3,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
112,3,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
113,3,c1948_Andropogon,c1950_A_capillipes,""">"""
114,3,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
115,3,c1948_Andropogon,c1950_A_virginicus,""">"""
116,3,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
117,3,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
118,3,c1948_A_virginicus,c1950_A_virginicus,"""><"""
119,3,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
120,3,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""><"""
121,3,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
122,3,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""><"""
123,3,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""><"""
124,3,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
125,3,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""><"""
126,3,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,"""><"""
127,3,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
128,3,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
129,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""!"""
130,3,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
131,3,c1948_A_capillipes,c1950_A_virginicus,"""!"""
132,3,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
133,3,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
134,3,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
135,3,c1948_A_virginicus,c1950_A_capillipes,"""!"""
136,3,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
137,3,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
138,3,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
139,3,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
140,3,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
141,3,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
142,3,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
143,3,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
144,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
145,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
146,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
147,4,c1948_Andropogon,c1950_Andropogon,"""="""
148,4,c1948_A_capillipes,c1950_A_capillipes,"""="""
149,4,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
150,4,c1948_A_glomeratus,c1950_Andropogon,"""<"""
151,4,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
152,4,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
153,4,c1948_A_virginicus,c1950_Andropogon,"""<"""
154,4,c1948_A_capillipes,c1950_Andropogon,"""<"""
155,4,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
156,4,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
157,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""<"""
158,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""<"""
159,4,c1948_Andropogon,c1950_A_glomeratus,""">"""
160,4,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
161,4,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
162,4,c1948_Andropogon,c1950_A_capillipes,""">"""
163,4,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
164,4,c1948_Andropogon,c1950_A_virginicus,""">"""
165,4,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
166,4,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
167,4,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
168,4,c1948_A_virginicus,c1950_A_virginicus,"""><"""
169,4,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
170,4,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
171,4,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""><"""
172,4,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""><"""
173,4,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
174,4,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""><"""
175,4,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
176,4,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
177,4,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
178,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""!"""
179,4,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
180,4,c1948_A_capillipes,c1950_A_virginicus,"""!"""
181,4,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
182,4,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
183,4,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
184,4,c1948_A_virginicus,c1950_A_capillipes,"""!"""
185,4,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
186,4,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
187,4,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
188,4,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
189,4,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
190,4,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
191,4,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
192,4,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
193,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
194,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
195,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
196,5,c1948_Andropogon,c1950_Andropogon,"""="""
197,5,c1948_A_capillipes,c1950_A_capillipes,"""="""
198,5,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
199,5,c1948_A_glomeratus,c1950_Andropogon,"""<"""
200,5,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
201,5,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
202,5,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""<"""
203,5,c1948_A_virginicus,c1950_Andropogon,"""<"""
204,5,c1948_A_capillipes,c1950_Andropogon,"""<"""
205,5,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
206,5,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
207,5,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""<"""
208,5,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""<"""
209,5,c1948_Andropogon,c1950_A_glomeratus,""">"""
210,5,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
211,5,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
212,5,c1948_Andropogon,c1950_A_capillipes,""">"""
213,5,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
214,5,c1948_Andropogon,c1950_A_virginicus,""">"""
215,5,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
216,5,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
217,5,c1948_A_virginicus,c1950_A_virginicus,"""><"""
218,5,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
219,5,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""><"""
220,5,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
221,5,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
222,5,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,"""><"""
223,5,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
224,5,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
225,5,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""!"""
226,5,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
227,5,c1948_A_capillipes,c1950_A_virginicus,"""!"""
