,NDC,overlaps (inferred),is_a (input),congruent,CEN,overlaps (input),is_a (inferred)
0,5,6,9,1,4,1,0
1,5,5,9,1,4,1,0
2,5,5,9,1,4,1,0
3,5,4,9,1,4,1,0
4,5,5,9,1,4,1,0
5,5,3,8,1,4,1,1
6,5,3,8,1,4,1,1
7,5,1,7,1,4,1,2
8,5,5,9,1,4,1,0
9,5,4,9,1,4,1,0
10,5,4,9,1,4,1,0
11,5,2,8,1,4,1,1
12,5,6,9,1,4,1,0
13,5,5,9,1,4,1,0
14,5,5,9,1,4,1,0
15,5,4,9,1,4,1,0
16,5,5,9,1,4,1,0
17,5,4,9,1,4,1,0
18,5,3,8,1,4,1,1
19,5,2,8,1,4,1,1
20,5,5,9,1,4,1,0
21,5,3,8,1,4,1,1
22,5,3,8,1,4,1,1
23,5,1,7,1,4,1,2
24,5,3,8,1,4,1,1
25,5,1,7,1,4,1,2
26,5,7,9,1,4,1,0
27,5,6,9,1,4,1,0
28,5,6,9,1,4,1,0
29,5,5,9,1,4,1,0
30,5,6,9,1,4,1,0
31,5,5,9,1,4,1,0
32,5,4,8,1,4,1,1
33,5,3,8,1,4,1,1
34,5,6,9,1,4,1,0
35,5,5,9,1,4,1,0
36,5,4,8,1,4,1,1
37,5,3,8,1,4,1,1
38,5,5,9,1,4,1,0
39,5,3,8,1,4,1,1
40,5,3,8,1,4,1,1
41,4,2,8,2,3,1,0
42,5,6,9,1,4,1,0
43,5,4,8,1,4,1,1
44,5,4,8,1,4,1,1
45,5,2,7,1,4,1,2
46,5,4,8,1,4,1,1
47,5,2,7,1,4,1,2
48,5,4,8,1,4,1,1
49,5,2,7,1,4,1,2
50,5,2,7,1,4,1,2
